pos,corr_resp,Pos,correctKey,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation_4.started,fixciation_5.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,test.started,stimulus.started,stimulus_2.started,stimulus_3.started,stimulus_4.started,stimulus_5.started,stimulus_6.started,stimulus.stopped,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,a,,,0,0,0,0,,,,,0.1616111001931131,,0.15354750002734363,0.1616111001931131,1.009975700173527,1.009975700173527,1.009975700173527,1.009975700173527,1.1760596001986414,2.0098803001455963,7.402666900074109,a,1,5.369592399802059,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,0,1,1,1,,,,,7.412250900175422,,7.405695900088176,7.412250900175422,8.409281700151041,8.409281700151041,8.409281700151041,8.409281700151041,8.42587300017476,9.409109700005502,9.878519400022924,s,1,0.46328300004824996,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,0,2,2,2,,,,,9.894035700010136,,9.879821800161153,9.894035700010136,10.89266540016979,10.89266540016979,10.89266540016979,10.89266540016979,10.89266540016979,11.892011600080878,11.962876700097695,d,1,0.05513380002230406,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,0,3,3,3,,,,,11.976415900047868,,11.96481700008735,11.976415900047868,12.975531600182876,12.975531600182876,12.975531600182876,12.975531600182876,12.975531600182876,13.9758262000978,16.56235530017875,g,0,2.5837723000440747,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,0,4,4,4,,,,,16.575398500077426,,16.56419669999741,16.575398500077426,17.57669120002538,17.57669120002538,17.57669120002538,17.57669120002538,17.57669120002538,18.5757939000614,18.594287000130862,a,0,0.008460799930617213,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,1,0,5,0,,,,,18.609480899991468,,18.596264800056815,18.609480899991468,19.610147300176322,19.610147300176322,19.610147300176322,19.610147300176322,19.610147300176322,20.609188199974597,22.995441500097513,s,0,2.3774393000639975,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,1,1,6,1,,,,,23.00886690011248,,22.997426700079814,23.00886690011248,24.00954240001738,24.00954240001738,24.00954240001738,24.00954240001738,24.00954240001738,25.008993900148198,25.209989700000733,d,0,None,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,1,2,7,2,,,,,25.22615160001442,,25.212102300021797,25.22615160001442,26.22688090009615,26.22688090009615,26.22688090009615,26.22688090009615,26.22688090009615,27.22573300008662,29.159906800137833,a,0,1.9203589998651296,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,1,3,8,3,,,,,29.17534810001962,,29.162068500183523,29.17534810001962,30.175617099972442,30.175617099972442,30.175617099972442,30.175617099972442,30.175617099972442,31.175233300076798,33.01370670017786,d,0,1.8235251000151038,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,1,4,9,4,,,,,33.024879300035536,,33.01503440015949,33.024879300035536,34.02601400017738,34.02601400017738,34.02601400017738,34.02601400017738,34.02601400017738,35.0256799000781,35.12766140000895,f,0,0.09957389999181032,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,2,0,10,0,,,,,35.14258470013738,,35.12936060014181,35.14258470013738,36.14200710016303,36.14200710016303,36.14200710016303,36.14200710016303,36.15826639998704,37.14153520017862,37.15954660018906,s,0,0.0025893000420182943,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,2,1,11,1,,,,,37.174970200052485,,37.16060950001702,37.174970200052485,38.15949280001223,38.15949280001223,38.15949280001223,38.15949280001223,38.17630920000374,39.15926310000941,42.02840459998697,s,1,2.8642898998223245,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,2,2,12,2,,,,,42.04243260016665,,42.029426000081,42.04243260016665,43.04327580006793,43.04327580006793,43.04327580006793,43.04327580006793,43.04327580006793,44.042874600039795,44.4775964000728,d,1,0.43230620003305376,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,2,3,13,3,,,,,44.49123070016503,,44.479440400144085,44.49123070016503,45.492130500031635,45.492130500031635,45.492130500031635,45.492130500031635,45.492130500031635,46.49164700019173,46.97775260009803,f,1,0.4822204001247883,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,2,4,14,4,,,,,46.99542890000157,,46.979257700033486,46.99542890000157,47.99187310016714,47.99187310016714,47.99187310016714,47.99187310016714,48.00761270010844,48.991844300180674,49.52622360014357,d,0,0.5211706999689341,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,3,0,15,0,,,,,49.541157100116834,,49.527916100108996,49.541157100116834,50.542157400166616,50.542157400166616,50.542157400166616,50.542157400166616,50.542157400166616,51.54274840001017,51.75962680019438,s,0,0.21422130009159446,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,3,1,16,1,,,,,51.77529050013982,,51.76143900002353,51.77529050013982,52.7754044001922,52.7754044001922,52.7754044001922,52.7754044001922,52.7754044001922,53.774490100098774,53.97762560006231,a,0,0.19640670018270612,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,3,2,17,2,,,,,53.991721500176936,,53.97903010016307,53.991721500176936,54.99215900013223,54.99215900013223,54.99215900013223,54.99215900013223,54.99215900013223,55.99063210003078,58.19386150012724,d,1,2.1964528001844883,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,3,3,18,3,,,,,58.20832179998979,,58.195275800069794,58.20832179998979,59.20993370003998,59.20993370003998,59.20993370003998,59.20993370003998,59.20993370003998,60.20814790017903,62.67770540015772,d,0,2.462481399998069,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,3,4,19,4,,,,,62.69202810013667,,62.67866159998812,62.69202810013667,63.67550030001439,63.67550030001439,63.67550030001439,63.67550030001439,63.691175000043586,64.69063069997355,64.70969659998082,s,0,0.014530600048601627,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,4,0,20,0,,,,,64.72491590003483,,64.71110379998572,64.72491590003483,65.7247222000733,65.7247222000733,65.7247222000733,65.7247222000733,65.7247222000733,66.72529910015874,67.36169370007701,d,0,0.620210399851203,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,4,1,21,1,,,,,67.37564910016954,,67.36276799999177,67.37564910016954,68.37408660002984,68.37408660002984,68.37408660002984,68.37408660002984,68.37408660002984,69.37421440007165,69.47551840008236,f,0,0.09574669995345175,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,4,2,22,2,,,,,69.49187969998457,,69.47638510004617,69.49187969998457,70.49131700000726,70.49131700000726,70.49131700000726,70.49131700000726,70.49131700000726,71.49078340013511,74.44221780006774,g,0,2.9420246998779476,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,4,3,23,3,,,,,74.4575420001056,,74.44369440013543,74.4575420001056,75.45850530010648,75.45850530010648,75.45850530010648,75.45850530010648,75.45850530010648,76.45750840008259,76.82548520015553,f,1,0.35093790013343096,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,4,4,24,4,,,,,76.84158640005626,,76.82644910016097,76.84158640005626,77.84100320003927,77.84100320003927,77.84100320003927,77.84100320003927,77.84100320003927,78.84082550019957,79.62631419999525,a,0,0.7689335001632571,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,5,0,25,0,,,,,79.64094489999115,,79.62803850020282,79.64094489999115,80.64143360010348,80.64143360010348,80.64143360010348,80.64143360010348,80.64143360010348,81.64130360004492,83.12651810003445,s,0,1.4743536999449134,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-150,s,,,5,1,26,1,,,,,83.14085980015807,,83.12842950015329,83.14085980015807,84.14018089999445,84.14018089999445,84.14018089999445,84.14018089999445,84.14018089999445,85.14028260018677,87.37549980008043,f,0,2.2203815998509526,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
50,d,,,5,2,27,2,,,,,87.39055300015025,,87.37649080017582,87.39055300015025,88.38986240001395,88.38986240001395,88.38986240001395,88.38986240001395,88.38986240001395,89.39030189998448,90.40950240008533,g,0,1.0025279000401497,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
150,f,,,5,3,28,3,,,,,90.42527390015312,,90.41108890017495,90.42527390015312,91.4241477001924,91.4241477001924,91.4241477001924,91.4241477001924,91.4241477001924,92.42341970000416,93.82570610009134,a,0,1.3939876998774707,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
60,g,,,5,4,29,4,,,,,93.84083070000634,,93.8277913001366,93.84083070000634,94.8417136000935,94.8417136000935,94.8417136000935,94.8417136000935,94.8417136000935,95.84136239998043,96.49235479999334,s,0,0.6350761000066996,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
-50,a,,,6,0,30,0,,,,,96.50674830004573,,96.49340030015446,96.50674830004573,97.50644530006684,97.50644530006684,97.50644530006684,97.50644530006684,97.50644530006684,98.5071719000116,101.60758260008879,f,0,3.0924221000168473,None,,,,,,,,,,,,,,,304747,001,2024-11-26_16h28.03.313,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h28.11.365439 +0530,
