pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation_4.started,fixciation_5.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,test.started,stimulus.started,stimulus_2.started,stimulus_3.started,stimulus_4.started,stimulus_5.started,stimulus.stopped,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,a,0,0,0,0,,,,,0.23785470006987453,,0.22575889993458986,0.23785470006987453,1.011968000093475,1.011968000093475,1.011968000093475,1.011968000093475,1.245488400105387,2.0135453001130372,6.513536100042984,s,0,4.491435199975967,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
-150,s,0,1,1,1,,,,,6.528439300134778,,6.5172361000441015,6.528439300134778,7.529786900151521,7.529786900151521,7.529786900151521,7.529786900151521,7.529786900151521,8.529207699932158,9.529693700140342,d,0,0.9915346000343561,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
50,d,0,2,2,2,,,,,9.545669900020584,,9.531255400041118,9.545669900020584,10.546461899997666,10.546461899997666,10.546461899997666,10.546461899997666,10.546461899997666,11.546828099992126,11.584264900069684,f,0,0.03271179995499551,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
150,f,0,3,3,3,,,,,11.596246600151062,,11.586984799942002,11.596246600151062,12.595748600084335,12.595748600084335,12.595748600084335,12.595748600084335,12.595748600084335,13.59573379997164,14.197072300128639,g,0,0.5963800998870283,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
60,g,0,4,4,4,,,,,14.215034900000319,,14.19810099992901,14.215034900000319,15.196728100068867,15.196728100068867,15.196728100068867,15.196728100068867,15.229466400109231,16.212051100097597,16.331273999996483,a,0,0.11305409995839,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
-50,a,1,0,5,0,,,,,16.348651400068775,,16.332440700149164,16.348651400068775,17.34559360006824,17.34559360006824,17.34559360006824,17.34559360006824,17.362168099964038,18.3458638000302,19.43250590004027,d,0,1.076605600072071,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
-150,s,1,1,6,1,,,,,19.44562719995156,,19.4336063999217,19.44562719995156,20.44579640007578,20.44579640007578,20.44579640007578,20.44579640007578,20.44579640007578,21.445185499964282,22.580894500017166,g,0,1.1277054001111537,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
50,d,1,2,7,2,,,,,22.595141200115904,,22.583234100136906,22.595141200115904,23.5954571000766,23.5954571000766,23.5954571000766,23.5954571000766,23.5954571000766,24.594889899948612,25.862479400122538,s,0,1.2603887999430299,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
150,f,1,3,8,3,,,,,25.87808379996568,,25.863500900100917,25.87808379996568,26.879603600129485,26.879603600129485,26.879603600129485,26.879603600129485,26.879603600129485,27.87876099999994,28.879271999932826,f,1,0.9933178999926895,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
60,g,1,4,9,4,,,,,28.89620120008476,,28.881053100107238,28.89620120008476,29.894890499999747,29.894890499999747,29.894890499999747,29.894890499999747,29.911778300069273,30.895894899964333,32.56267810007557,a,0,1.6568205999210477,None,,,,,,,,,,,,,,409280,001,2024-11-25_20h39.38.476,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-25 20h39.49.757073 +0530,
