pos,corr_resp,Pos,correctKey,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixciation.started,fixciation_2.started,fixciation_3.started,fixciation_4.started,fixciation_5.started,fixciation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,test.started,stimulus.started,stimulus.stopped,stimulus_2.started,stimulus_3.started,stimulus_4.started,stimulus_5.started,stimulus_6.started,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,a,,,0,0,0,0,,,,,0.2020399000030011,,0.19588320003822446,0.2020399000030011,1.0046399999409914,1.0046399999409914,1.0046399999409914,1.0046399999409914,1.2036445001140237,2.004095199983567,4.8897146000526845,a,1,2.877085299929604,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,0,1,1,1,,,,,4.902479300042614,,4.890371500048786,4.902479300042614,5.903569600079209,5.903569600079209,5.903569600079209,5.903569600079209,5.903569600079209,6.904073700075969,7.272644300013781,s,1,0.3631906001828611,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,0,2,2,2,,,,,7.2866128999739885,,7.273324599955231,7.2866128999739885,8.286940900143236,8.286940900143236,8.286940900143236,8.286940900143236,8.286940900143236,9.285847600083798,9.521239900030196,d,1,0.2300499000120908,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,0,3,3,3,,,,,9.53574960003607,,9.522732800105587,9.53574960003607,10.520280899945647,10.520280899945647,10.520280899945647,10.520280899945647,10.537471499992535,11.53652730002068,11.603989700088277,f,1,0.05358409998007119,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,0,4,4,4,,,,,11.620214299997315,,11.604451999999583,11.620214299997315,12.620387400034815,12.620387400034815,12.620387400034815,12.620387400034815,12.620387400034815,13.619013800052926,16.28883110010065,g,1,2.6673442001920193,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,1,0,5,0,,,,,16.30209490004927,,16.29051600000821,16.30209490004927,17.30321849999018,17.30321849999018,17.30321849999018,17.30321849999018,17.30321849999018,18.304325300036,18.52338959998451,a,1,0.21563059999607503,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,1,1,6,1,,,,,18.536340600112453,,18.524303199956194,18.536340600112453,19.53691989998333,19.53691989998333,19.53691989998333,19.53691989998333,19.53691989998333,20.53684279997833,21.486570300068706,s,1,0.9419840998016298,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,1,2,7,2,,,,,21.502044500084594,,21.487094100099057,21.502044500084594,22.48721590009518,22.48721590009518,22.48721590009518,22.48721590009518,22.503854800015688,23.487100700149313,23.85354489996098,d,1,0.3621578000020236,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,1,3,8,3,,,,,23.868739600060508,,23.854039099998772,23.868739600060508,24.86950090015307,24.86950090015307,24.86950090015307,24.86950090015307,24.86950090015307,25.85375989996828,26.39046739996411,f,1,0.5333789999131113,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,1,4,9,4,,,,,26.402669799979776,,26.39194680005312,26.402669799979776,27.404064000118524,27.404064000118524,27.404064000118524,27.404064000118524,27.404064000118524,28.403477299958467,28.55531259998679,g,1,0.14627090003341436,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,2,0,10,0,,,,,28.568593899952248,,28.555948300054297,28.568593899952248,29.570290900068358,29.570290900068358,29.570290900068358,29.570290900068358,29.570290900068358,30.569644400151446,30.670174699975178,a,1,None,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,2,1,11,1,,,,,30.685872599948198,,30.670675500063226,30.685872599948198,31.670200400054455,31.670200400054455,31.670200400054455,31.670200400054455,31.686609799973667,32.68633239995688,32.81926600006409,s,1,0.1208143001422286,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,2,2,12,2,,,,,32.83518259995617,,32.81984389992431,32.83518259995617,33.819269800093025,33.819269800093025,33.819269800093025,33.819269800093025,33.835477200103924,34.81943030003458,35.152756799943745,d,1,0.3277823000680655,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,2,3,13,3,,,,,35.16822610003874,,35.15321739995852,35.16822610003874,36.168296500109136,36.168296500109136,36.168296500109136,36.168296500109136,36.168296500109136,37.15365969995037,37.468947200104594,f,1,0.3000231001060456,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,2,4,14,4,,,,,37.485026499954984,,37.47000019997358,37.485026499954984,38.469095499953255,38.469095499953255,38.469095499953255,38.469095499953255,38.48608070006594,39.470648700138554,39.586864199955016,g,1,0.10326329991221428,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,3,0,15,0,,,,,39.60296729998663,,39.58821910014376,39.60296729998663,40.58588150003925,40.58588150003925,40.58588150003925,40.58588150003925,40.603229200001806,41.601998599944636,41.919376000063494,a,1,0.30255229980684817,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,3,1,16,1,,,,,41.934883600100875,,41.91983920009807,41.934883600100875,42.9190382999368,42.9190382999368,42.9190382999368,42.9190382999368,42.93621630012058,43.92071340000257,44.07163970009424,s,1,0.14555600006133318,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,3,2,17,2,,,,,44.08562149992213,,44.07225910015404,44.08562149992213,45.08569290000014,45.08569290000014,45.08569290000014,45.08569290000014,45.08569290000014,46.08688880014233,46.28590409993194,d,1,0.18347240006551147,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,3,3,18,3,,,,,46.30145199992694,,46.28666749992408,46.30145199992694,47.286225100047886,47.286225100047886,47.286225100047886,47.286225100047886,47.30244170012884,48.287256699986756,48.37057869997807,f,1,None,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,3,4,19,4,,,,,48.38541899994016,,48.371344400104135,48.38541899994016,49.386003100080416,49.386003100080416,49.386003100080416,49.386003100080416,49.386003100080416,50.38464409997687,52.03621629998088,g,1,1.6424583999905735,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,4,0,20,0,,,,,52.05229160003364,,52.03668970009312,52.05229160003364,53.03714310005307,53.03714310005307,53.03714310005307,53.03714310005307,53.053299700142816,54.03526820009574,54.118847500067204,a,1,0.06748019997030497,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,4,1,21,1,,,,,54.13469139998779,,54.119342900114134,54.13469139998779,55.13607409992255,55.13607409992255,55.13607409992255,55.13607409992255,55.13607409992255,56.11869710008614,57.468915099976584,s,1,1.3346641000825912,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,4,2,22,2,,,,,57.484625099925324,,57.46938410005532,57.484625099925324,58.468452299945056,58.468452299945056,58.468452299945056,58.468452299945056,58.48506149998866,59.46938559995033,59.58627790003084,d,1,0.10155480005778372,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,4,3,23,3,,,,,59.602341999998316,,59.586745999986306,59.602341999998316,60.58638470014557,60.58638470014557,60.58638470014557,60.58638470014557,60.60278189997189,61.58504809997976,61.96872840006836,f,1,0.3700304999947548,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,4,4,24,4,,,,,61.98452390008606,,61.96932779997587,61.98452390008606,62.96820909995586,62.96820909995586,62.96820909995586,62.96820909995586,62.9844405001495,63.969948899932206,64.03728080005385,g,1,None,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,5,0,25,0,,,,,64.0516193001531,,64.03775430005044,64.0516193001531,65.05148279992864,65.05148279992864,65.05148279992864,65.05148279992864,65.05148279992864,66.05103470012546,67.4029731999617,g,0,1.344423099886626,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,5,1,26,1,,,,,67.41850419994444,,67.40356050012633,67.41850419994444,68.41902839997783,68.41902839997783,68.41902839997783,68.41902839997783,68.41902839997783,69.41901409998536,69.58578650001436,a,0,0.1614556999411434,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,5,2,27,2,,,,,69.60083850007504,,69.5863930999767,69.60083850007504,70.58496759994887,70.58496759994887,70.58496759994887,70.58496759994887,70.60209840000607,71.60174369998276,73.31970560015179,s,0,1.7121125999838114,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,5,3,28,3,,,,,73.33419470000081,,73.32125569996424,73.33419470000081,74.33552039996721,74.33552039996721,74.33552039996721,74.33552039996721,74.33552039996721,75.3362656000536,76.5026398000773,d,0,1.1580626000650227,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,5,4,29,4,,,,,76.5179723999463,,76.50312380003743,76.5179723999463,77.50194830005057,77.50194830005057,77.50194830005057,77.50194830005057,77.51811649999581,78.51750890002586,79.01827420014888,f,0,0.48462149989791214,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,6,0,30,0,,,,,79.03416520007886,,79.01920880004764,79.03416520007886,80.0192332000006,80.0192332000006,80.0192332000006,80.0192332000006,80.03568840003572,81.0190340001136,81.40134129999205,g,0,0.3729779999703169,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,6,1,31,1,,,,,81.41681220009923,,81.40180779993534,81.41681220009923,82.40144710009918,82.40144710009918,82.40144710009918,82.40144710009918,82.4180733000394,83.40128799993545,84.8523317000363,a,0,1.444541099946946,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,6,2,32,2,,,,,84.86793390009552,,84.85296580009162,84.86793390009552,85.85143669997342,85.85143669997342,85.85143669997342,85.85143669997342,85.86789839994162,86.8674417999573,87.6361096999608,s,0,0.7554415001068264,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
150,f,,,6,3,33,3,,,,,87.65118460007943,,87.63673899997957,87.65118460007943,88.65237329993397,88.65237329993397,88.65237329993397,88.65237329993397,88.65237329993397,89.6511785001494,91.40178450010717,d,0,1.7396949999965727,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
60,g,,,6,4,34,4,,,,,91.4175094999373,,91.4022328001447,91.4175094999373,92.40150190005079,92.40150190005079,92.40150190005079,92.40150190005079,92.4179328000173,93.41843860014342,93.5860520999413,f,0,0.16632159985601902,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-50,a,,,7,0,35,0,,,,,93.60035720001906,,93.58663120004348,93.60035720001906,94.60182070010342,94.60182070010342,94.60182070010342,94.60182070010342,94.60182070010342,95.60262569994666,95.66845500003546,a,1,0.057803899981081486,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
-150,s,,,7,1,36,1,,,,,95.68432620004751,,95.66916360007599,95.68432620004751,96.6691276000347,96.6691276000347,96.6691276000347,96.6691276000347,96.68453969992697,97.68432980007492,102.33488440001383,s,1,4.638172700069845,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
50,d,,,7,2,37,2,,,,,102.35064509999938,,102.33631179993972,102.35064509999938,103.33491660002619,103.33491660002619,103.33491660002619,103.33491660002619,103.35153710003942,104.35113440011628,105.35115540004335,d,1,0.9895937999244779,None,,,,,,,,,,,,,,,958053,001,2024-11-26_16h39.59.331,PRIYANSHI.AU2220101_solo.project,2024.1.5,None,2024-11-26 16h40.05.605104 +0530,
